"municipality","department","muni_anexo","file","size_kb","id_muni","qid","muni_gadm","commons_filename","commons_url","mid","upload_date","status"
"Belén de Andamarca","Oruro","Belén de Andamarca","output/locator_maps/muni-maps-final/Belen_de_Andamarca_muni_locator_map.svg",2837.4,"041202","Q647861","Belén de Andamarca","Belén de Andamarca muni locator map.svg","https://commons.wikimedia.org/wiki/File:Belén_de_Andamarca_muni_locator_map.svg","M192031208","2026-05-15","uploaded"
"Caracollo","Oruro","Caracollo","output/locator_maps/muni-maps-final/Caracollo_muni_locator_map.svg",2837.4,"040102","Q647748","Caracollo","Caracollo muni locator map.svg","https://commons.wikimedia.org/wiki/File:Caracollo_muni_locator_map.svg","M192031225","2026-05-15","uploaded"
"Carangas","Oruro","Carangas","output/locator_maps/muni-maps-final/Carangas_muni_locator_map.svg",2837.4,"041503","Q647761","Carangas","Carangas muni locator map.svg","https://commons.wikimedia.org/wiki/File:Carangas_muni_locator_map.svg","M192031233","2026-05-15","uploaded"
"Challapata","Oruro","Challapata","output/locator_maps/muni-maps-final/Challapata_muni_locator_map.svg",2837.4,"040201","Q647865","Challapata","Challapata muni locator map.svg","https://commons.wikimedia.org/wiki/File:Challapata_muni_locator_map.svg","M192031241","2026-05-15","uploaded"
"Chipaya","Oruro","Chipaya","output/locator_maps/muni-maps-final/Chipaya_muni_locator_map.svg",2837.4,"040903","Q647818","Chipaya","Chipaya muni locator map.svg","https://commons.wikimedia.org/wiki/File:Chipaya_muni_locator_map.svg","M192031254","2026-05-15","uploaded"
"Choquecota","Oruro","Choquecota","output/locator_maps/muni-maps-final/Choquecota_muni_locator_map.svg",2837.4,"040302","Q647829","Choquecota","Choquecota muni locator map.svg","https://commons.wikimedia.org/wiki/File:Choquecota_muni_locator_map.svg","M192031263","2026-05-15","uploaded"
"Coipasa","Oruro","Coipasa","output/locator_maps/muni-maps-final/Coipasa_muni_locator_map.svg",2837.4,"040902","Q647739","Coipasa","Coipasa muni locator map.svg","https://commons.wikimedia.org/wiki/File:Coipasa_muni_locator_map.svg","M192031271","2026-05-15","uploaded"
"Corque","Oruro","Corque","output/locator_maps/muni-maps-final/Corque_muni_locator_map.svg",2837.4,"040301","Q647881","Corque","Corque muni locator map.svg","https://commons.wikimedia.org/wiki/File:Corque_muni_locator_map.svg","M192031280","2026-05-15","uploaded"
"Cruz de Machacamarca","Oruro","Cruz de Machacamarca","output/locator_maps/muni-maps-final/Cruz_de_Machacamarca_muni_locator_map.svg",2837.4,"040503","Q647771","Cruz de Machacamarca","Cruz de Machacamarca muni locator map.svg","https://commons.wikimedia.org/wiki/File:Cruz_de_Machacamarca_muni_locator_map.svg","M192031290","2026-05-15","uploaded"
"Curahuara de Carangas","Oruro","Curahuara de Carangas","output/locator_maps/muni-maps-final/Curahuara_de_Carangas_muni_locator_map.svg",2837.4,"040401","Q614715","Curahuara de Carangas","Curahuara de Carangas muni locator map.svg","https://commons.wikimedia.org/wiki/File:Curahuara_de_Carangas_muni_locator_map.svg","M192031304","2026-05-15","uploaded"
"El Choro","Oruro","El Choro","output/locator_maps/muni-maps-final/El_Choro_muni_locator_map.svg",2837.4,"040103","Q647796","El Choro","El Choro muni locator map.svg","https://commons.wikimedia.org/wiki/File:El_Choro_muni_locator_map.svg","M192031324","2026-05-15","uploaded"
"Escara","Oruro","Escara","output/locator_maps/muni-maps-final/Escara_muni_locator_map.svg",2837.4,"040502","Q647895","Escara","Escara muni locator map.svg","https://commons.wikimedia.org/wiki/File:Escara_muni_locator_map.svg","M192031343","2026-05-15","uploaded"
"Esmeralda","Oruro","Esmeralda","output/locator_maps/muni-maps-final/Esmeralda_muni_locator_map.svg",2837.4,"040505","Q174806","Esmeralda","Esmeralda muni locator map.svg","https://commons.wikimedia.org/wiki/File:Esmeralda_muni_locator_map.svg","M192031352","2026-05-15","uploaded"
"Eucaliptus","Oruro","Eucaliptus","output/locator_maps/muni-maps-final/Eucaliptus_muni_locator_map.svg",2837.4,"041101","Q1892759","Eucaliptus","Eucaliptus muni locator map.svg","https://commons.wikimedia.org/wiki/File:Eucaliptus_muni_locator_map.svg","M192031368","2026-05-15","uploaded"
"Huachacalla","Oruro","Huachacalla","output/locator_maps/muni-maps-final/Huachacalla_muni_locator_map.svg",2837.4,"040501","Q647800","Huachacalla","Huachacalla muni locator map.svg","https://commons.wikimedia.org/wiki/File:Huachacalla_muni_locator_map.svg","M192031381","2026-05-15","uploaded"
"Huanuni","Oruro","Huanuni","output/locator_maps/muni-maps-final/Huanuni_muni_locator_map.svg",2837.4,"040701","Q647811","Huanuni","Huanuni muni locator map.svg","https://commons.wikimedia.org/wiki/File:Huanuni_muni_locator_map.svg","M192031396","2026-05-15","uploaded"
"Huayllamarca","Oruro","Huayllamarca","output/locator_maps/muni-maps-final/Huayllamarca_muni_locator_map.svg",2837.4,"041601","Q2006663","Huayllamarca","Huayllamarca muni locator map.svg","https://commons.wikimedia.org/wiki/File:Huayllamarca_muni_locator_map.svg","M192031409","2026-05-15","uploaded"
"La Rivera","Oruro","La Rivera","output/locator_maps/muni-maps-final/La_Rivera_muni_locator_map.svg",2837.4,"041501","Q647786","La Rivera","La Rivera muni locator map.svg","https://commons.wikimedia.org/wiki/File:La_Rivera_muni_locator_map.svg","M192031420","2026-05-15","uploaded"
"Machacamarca","Oruro","Machacamarca","output/locator_maps/muni-maps-final/Machacamarca_muni_locator_map.svg",2837.4,"040702","Q647754","Machacamarca","Machacamarca muni locator map.svg","https://commons.wikimedia.org/wiki/File:Machacamarca_muni_locator_map.svg","M192031434","2026-05-15","uploaded"
"Oruro","Oruro","Oruro","output/locator_maps/muni-maps-final/Oruro_muni_locator_map.svg",2837.4,"040101","Q1953059","Oruro","Oruro muni locator map.svg","https://commons.wikimedia.org/wiki/File:Oruro_muni_locator_map.svg","M192031452","2026-05-15","uploaded"
"Pampa Aullagas","Oruro","Pampa Aullagas","output/locator_maps/muni-maps-final/Pampa_Aullagas_muni_locator_map.svg",2837.4,"040802","Q647728","Pampa Aullagas","Pampa Aullagas muni locator map.svg","https://commons.wikimedia.org/wiki/File:Pampa_Aullagas_muni_locator_map.svg","M192031469","2026-05-15","uploaded"
"Paria","Oruro","Paria","output/locator_maps/muni-maps-final/Paria_muni_locator_map.svg",2837.4,"040104","Q684618","Paria","Paria muni locator map.svg","https://commons.wikimedia.org/wiki/File:Paria_muni_locator_map.svg","M192031484","2026-05-15","uploaded"
"Pazña","Oruro","Pazña","output/locator_maps/muni-maps-final/Pazna_muni_locator_map.svg",2837.4,"040602","Q528661","Pazña","Pazña muni locator map.svg","https://commons.wikimedia.org/wiki/File:Pazña_muni_locator_map.svg","M192031497","2026-05-15","uploaded"
"Poopó","Oruro","Poopó","output/locator_maps/muni-maps-final/Poopo_muni_locator_map.svg",2837.4,"040601","Q1520813","Poopó","Poopó muni locator map.svg","https://commons.wikimedia.org/wiki/File:Poopó_muni_locator_map.svg","M192031509","2026-05-15","uploaded"
