mesa_code,mesa_number,registered,country_code,country_name,dept_code,dept_name,prov_code,prov_name,mun_code,mun_name,localidad_code,localidad_name,recinto_code,recinto_name,AP,LyP_ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,UNIDAD,PDC,valid_votes,blank_votes,null_votes,votes_cast
100864,6,132,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25163,Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield,6,0,3,6,1,1,4,9,30,0,13,43
100874,1,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25164,Escuela N° 4 De 11 Benjamín Zorrila,22,3,4,12,0,5,9,24,79,4,49,132
100884,2,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25164,Escuela N° 4 De 11 Benjamín Zorrila,24,0,6,8,2,1,6,38,85,2,50,137
100894,3,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25164,Escuela N° 4 De 11 Benjamín Zorrila,16,0,8,5,4,4,7,33,77,2,47,126
100904,4,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25164,Escuela N° 4 De 11 Benjamín Zorrila,29,0,10,14,4,2,1,37,97,2,44,143
100914,5,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25164,Escuela N° 4 De 11 Benjamín Zorrila,22,0,3,3,2,1,5,34,70,3,54,127
100924,6,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25164,Escuela N° 4 De 11 Benjamín Zorrila,17,0,12,11,1,2,6,26,75,0,36,111
100934,7,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25164,Escuela N° 4 De 11 Benjamín Zorrila,20,0,8,8,2,1,5,40,84,1,47,132
100944,8,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25164,Escuela N° 4 De 11 Benjamín Zorrila,14,0,8,9,3,9,6,26,75,1,49,125
100954,9,163,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25164,Escuela N° 4 De 11 Benjamín Zorrila,5,1,4,13,3,2,7,10,45,0,14,59
