"municipality","department","muni_anexo","file","size_kb"
"Tito Yupanqui","La Paz","Tito Yupanqui","output/locator_maps/workbench_hd_3/Tito_Yupanqui_muni_locator_map.svg",7514.2
"Umala","La Paz","Umala","output/locator_maps/workbench_hd_3/Umala_muni_locator_map.svg",7515
"Viacha","La Paz","Viacha","output/locator_maps/workbench_hd_3/Viacha_muni_locator_map.svg",7515
"Villa Ancoraimes","La Paz","Ancoraimes","output/locator_maps/workbench_hd_3/Ancoraimes_muni_locator_map.svg",7514.7
"Villa Libertad Licoma","La Paz","Licoma Pampa","output/locator_maps/workbench_hd_3/Licoma_Pampa_muni_locator_map.svg",7514.5
"Waldo Ballivian","La Paz","Waldo Ballivián","output/locator_maps/workbench_hd_3/Waldo_Ballivian_muni_locator_map.svg",7514.3
"Yaco","La Paz","Yaco","output/locator_maps/workbench_hd_3/Yaco_muni_locator_map.svg",7515.1
"Yanacachi","La Paz","Yanacachi","output/locator_maps/workbench_hd_3/Yanacachi_muni_locator_map.svg",7515.1
"Andamarca","Oruro","Santiago de Andamarca","output/locator_maps/workbench_hd_3/Santiago_de_Andamarca_muni_locator_map.svg",7515.6
"Antequera","Oruro","Antequera","output/locator_maps/workbench_hd_3/Antequera_muni_locator_map.svg",7514.8
"Belén de Andamarca","Oruro","Belén de Andamarca","output/locator_maps/workbench_hd_3/Belen_de_Andamarca_muni_locator_map.svg",7515.2
"Caracollo","Oruro","Caracollo","output/locator_maps/workbench_hd_3/Caracollo_muni_locator_map.svg",7516.2
"Carangas","Oruro","Carangas","output/locator_maps/workbench_hd_3/Carangas_muni_locator_map.svg",7514.8
"Challapata","Oruro","Challapata","output/locator_maps/workbench_hd_3/Challapata_muni_locator_map.svg",7517
"Chipaya","Oruro","Chipaya","output/locator_maps/workbench_hd_3/Chipaya_muni_locator_map.svg",7515
"Choquecota","Oruro","Choquecota","output/locator_maps/workbench_hd_3/Choquecota_muni_locator_map.svg",7515.1
"Coipasa","Oruro","Coipasa","output/locator_maps/workbench_hd_3/Coipasa_muni_locator_map.svg",7515.3
"Corque","Oruro","Corque","output/locator_maps/workbench_hd_3/Corque_muni_locator_map.svg",7515.5
"Cruz de Machacamarca","Oruro","Cruz de Machacamarca","output/locator_maps/workbench_hd_3/Cruz_de_Machacamarca_muni_locator_map.svg",7514.7
"Curahuara de Carangas","Oruro","Curahuara de Carangas","output/locator_maps/workbench_hd_3/Curahuara_de_Carangas_muni_locator_map.svg",7516.3
"El Choro","Oruro","El Choro","output/locator_maps/workbench_hd_3/El_Choro_muni_locator_map.svg",7515.3
"Escara","Oruro","Escara","output/locator_maps/workbench_hd_3/Escara_muni_locator_map.svg",7515
"Esmeralda","Oruro","Esmeralda","output/locator_maps/workbench_hd_3/Esmeralda_muni_locator_map.svg",7515.1
"Eucaliptus","Oruro","Eucaliptus","output/locator_maps/workbench_hd_3/Eucaliptus_muni_locator_map.svg",7514.7
"Huachacalla","Oruro","Huachacalla","output/locator_maps/workbench_hd_3/Huachacalla_muni_locator_map.svg",7514.2
"Huanuni","Oruro","Huanuni","output/locator_maps/workbench_hd_3/Huanuni_muni_locator_map.svg",7515.3
"Huayllamarca","Oruro","Huayllamarca","output/locator_maps/workbench_hd_3/Huayllamarca_muni_locator_map.svg",7515.3
"La Rivera","Oruro","La Rivera","output/locator_maps/workbench_hd_3/La_Rivera_muni_locator_map.svg",7514.5
"Machacamarca","Oruro","Machacamarca","output/locator_maps/workbench_hd_3/Machacamarca_muni_locator_map.svg",7514.6
"Oruro","Oruro","Oruro","output/locator_maps/workbench_hd_3/Oruro_muni_locator_map.svg",7514.2
"Pampa Aullagas","Oruro","Pampa Aullagas","output/locator_maps/workbench_hd_3/Pampa_Aullagas_muni_locator_map.svg",7515.5
"Paria","Oruro","Paria","output/locator_maps/workbench_hd_3/Paria_muni_locator_map.svg",7515.2
"Pazña","Oruro","Pazña","output/locator_maps/workbench_hd_3/Pazna_muni_locator_map.svg",7515.2
"Poopó","Oruro","Poopó","output/locator_maps/workbench_hd_3/Poopo_muni_locator_map.svg",7515.1
"Sabaya","Oruro","Sabaya","output/locator_maps/workbench_hd_3/Sabaya_muni_locator_map.svg",7516.9
"Salinas de Garcí Mendoza","Oruro","Salinas de Garci Mendoza","output/locator_maps/workbench_hd_3/Salinas_de_Garci_Mendoza_muni_locator_map.svg",7517.1
"Santiago de Huari","Oruro","Santiago de Huari","output/locator_maps/workbench_hd_3/Santiago_de_Huari_muni_locator_map.svg",7515.7
"Santuario de Quillacas","Oruro","Quillacas","output/locator_maps/workbench_hd_3/Quillacas_muni_locator_map.svg",7515.2
"Todos Santos","Oruro","Todos Santos","output/locator_maps/workbench_hd_3/Todos_Santos_muni_locator_map.svg",7514.5
"Toledo","Oruro","Toledo","output/locator_maps/workbench_hd_3/Toledo_muni_locator_map.svg",7515.9
"Totora","Oruro","Totora","output/locator_maps/workbench_hd_3/Totora_(Oruro)_muni_locator_map.svg",7515.4
"Turco","Oruro","Turco","output/locator_maps/workbench_hd_3/Turco_muni_locator_map.svg",7516.3
"Yunguyo del Litoral","Oruro","Yunguyo de Litoral","output/locator_maps/workbench_hd_3/Yunguyo_de_Litoral_muni_locator_map.svg",7514.4
"Bella Flor","Pando","Bella Flor","output/locator_maps/workbench_hd_3/Bella_Flor_muni_locator_map.svg",7517.9
"Bolpebra","Pando","Bolpebra","output/locator_maps/workbench_hd_3/Bolpebra_muni_locator_map.svg",7515.1
"Cobija","Pando","Cobija","output/locator_maps/workbench_hd_3/Cobija_muni_locator_map.svg",7514.6
"Filadelfia","Pando","Filadelfia","output/locator_maps/workbench_hd_3/Filadelfia_muni_locator_map.svg",7516.8
"Ingavi","Pando","Ingavi","output/locator_maps/workbench_hd_3/Ingavi_muni_locator_map.svg",7515.7
"Nueva Esperanza","Pando","Nueva Esperanza","output/locator_maps/workbench_hd_3/Nueva_Esperanza_muni_locator_map.svg",7515.7
